cosmic_age_Gyr,exponent,normalized_delta_cos
18.197008586099834,2,0.9960672528412089
18.620871366628673,2,0.9957409003368269
19.054607179632473,2,0.9954147081958815
19.498445997580454,2,0.9950886763133238
19.952623149688797,2,0.9947628045841913
20.417379446695296,2,0.9944370929036065
20.892961308540396,2,0.9941115411667788
21.379620895022324,2,0.9937861492690025
21.87761623949553,2,0.9934609171056581
22.3872113856834,2,0.9931358445722113
22.908676527677734,2,0.9928109315642137
23.442288153199225,2,0.992486177977302
23.98832919019491,2,0.9921615837071983
24.547089156850312,2,0.9918371486497103
25.11886431509581,2,0.9915128727007299
25.703957827688633,2,0.9911887557562352
26.302679918953814,2,0.9908647977122889
26.915348039269155,2,0.9905409984650382
27.542287033381662,2,0.9902173579107155
28.183829312644534,2,0.9898938759456383
28.84031503126606,2,0.989570552466208
29.512092266663856,2,0.9892473873689108
30.19951720402016,2,0.9889243805503181
30.902954325135905,2,0.9886015319070846
31.622776601683793,2,0.9882788413359502
32.359365692962825,2,0.9879563087337386
33.11311214825911,2,0.9876339339973581
33.884415613920254,2,0.9873117170238004
34.673685045253166,2,0.986989657710142
35.48133892335755,2,0.9866677559535423
36.30780547701014,2,0.9863460116512457
37.15352290971726,2,0.98602442470058
38.018939632056124,2,0.9857029949989562
38.90451449942807,2,0.9853817224438689
39.810717055349734,2,0.9850606069328969
40.73802778041128,2,0.9847396483637018
41.68693834703355,2,0.9844188466340288
42.657951880159274,2,0.9840982016417066
43.65158322401661,2,0.9837777132846466
44.668359215096324,2,0.9834573814608434
45.708818961487516,2,0.9831372060683747
46.77351412871981,2,0.9828171870054017
47.86300923226383,2,0.9824973241701674
48.97788193684461,2,0.9821776174609983
50.11872336272722,2,0.9818580667763034
51.28613839913648,2,0.9815386720145746
52.48074602497726,2,0.9812194330743857
53.70317963702527,2,0.9809003498543938
54.954087385762456,2,0.9805814222533372
56.23413251903491,2,0.980262650170038
57.543993733715695,2,0.9799440335033992
58.8843655355589,2,0.9796255721524066
60.25595860743578,2,0.9793072660161278
61.65950018614822,2,0.978989114993713
63.09573444801933,2,0.9786711189843931
64.56542290346556,2,0.978353277887482
66.06934480075961,2,0.9780355916023745
67.60829753919819,2,0.9777180600285478
69.18309709189366,2,0.9774006830655598
70.79457843841381,2,0.9770834606130507
72.44359600749902,2,0.9767663925707417
74.13102413009177,2,0.9764494788384354
75.8577575029184,2,0.9761327193160158
77.62471166286919,2,0.9758161139034478
79.43282347242817,2,0.9754996625007775
81.28305161640995,2,0.9751833650081323
83.17637711026708,2,0.9748672213257205
85.11380382023764,2,0.9745512313538306
87.09635899560806,2,0.9742353949928328
89.12509381337455,2,0.9739197121431777
91.20108393559097,2,0.973604182705396
93.3254300796991,2,0.9732888065800994
95.49925860214358,2,0.9729735836679805
97.72372209558107,2,0.9726585138698115
100.0,2,0.9723435970864454
1.0,3,1.0583138977118975
1.023292992280754,3,1.0577828592570917
