target,z_abs_catalogue,line,rest_AA,f,observed_AA_catalogue,metadata_eligible,native_pixels,valid_pixels,valid_fraction,longest_invalid_run_pixels,actual_log_grid_spacing_km_s,native_CNR,sideband_median_flux,core_EW_rest_AA,core_EW_diagonal_error_AA,core_EW_diagonal_SNR,full_EW_rest_AA,full_EW_diagonal_error_AA,core_to_full_EW_ratio,core_low_flux_pixels,core_valid_pixels,core_low_flux_fraction,core_resolved_unsaturated_detection_pixels,core_AOD_integral_cm2,full_window_edge_EW_diagonal_SNR,broader_water_band_warning,strong_sky_feature_warning,reported_instrument_artifact_warning,nearest_nominal_R,nearest_arc_R,median_contributing_extracted_pixels,detected_primary_candidate,detected_strict_candidate,rejections
J010516-184642,2.37,2260,2260.779108,0.00244,7618.825593960001,False,200,200,1.0,0,2.4999895761823456,36.13666336535327,0.6118068195044271,0.38587712872692737,0.004827886838819082,79.92671361396579,1.2686832360102838,0.007329463122879971,0.3041556140841129,1,80,0.0125,52,5400161625384637.0,76.55396645481332,False,False,False,47817.7,48887.616804506244,3.0,False,False,['conservative_telluric_band']
J010516-184642,2.37,2344,2344.212747,0.114,7899.996957390001,False,200,120,0.6,80,2.4999895761823456,25.150092070439477,0.9793127722549786,0.011316074606764336,0.002557767242314898,4.424200302339772,0.06487442236318512,0.008888546126492827,0.17443044877399896,0,12,0.0,0,2102718303479.3154,2.7933653218152332,True,False,False,47817.7,48887.616804506244,3.0,False,False,"['catalogue_coverage_gap', 'native_valid_fraction_below_0p98', 'core_EW_diagonal_detection_proxy_below_5']"
J010516-184642,2.37,2374,2374.460064,0.0313,8001.93041568,True,200,200,1.0,0,2.4999895761823456,24.79936557812465,0.928572708631858,0.26598926919381194,0.007135858924140111,37.27501790905491,0.4654029038010575,0.012505679988544046,0.5715247305537065,2,80,0.025,31,269496389081229.34,9.933039658430879,True,False,False,47817.7,48887.616804506244,3.0,True,False,[]
J010516-184642,2.37,2382,2382.763995,0.32,8029.91466315,True,200,200,1.0,0,2.4999895761823456,27.776420390731495,0.9398163393214393,0.30988999841546316,0.007443382039152653,41.6329561999401,0.4679211861726065,0.010908042663448247,0.6622696461988177,9,80,0.1125,20,40440175558814.43,14.353103482027223,True,False,False,47817.7,48887.616804506244,3.0,True,False,[]
J010516-184642,2.37,2586,2586.649312,0.0691,8717.00818144,True,200,200,1.0,0,2.4999895761823456,23.76872658602842,0.9916079948185471,0.18525090961006718,0.00788513728427411,23.493682219018083,0.19412781962837344,0.01279026103535481,0.9542728598337957,5,80,0.0625,6,97405936845897.8,1.7908637315132057,False,False,False,47817.7,44646.228596376845,3.0,True,True,[]
J010516-184642,2.37,2600,2600.172114,0.239,8762.58002418,True,200,200,1.0,0,2.4999895761823456,20.18211278404142,1.0054940374832004,0.22667772538760406,0.01199054527548594,18.90470534739026,0.23137996945684688,0.017320352545368036,0.97967739350869,6,80,0.075,7,33340163878193.188,-1.4777982612130074,False,False,False,47817.7,44646.228596376845,3.0,True,True,[]
J012517-001828,1.761,1608,1608.450852,0.0577,4440.932802372,False,200,200,1.0,0,2.4999895761823456,16.329433415280672,0.9864309160599971,0.6087924742294761,0.0057712654006829385,105.48682688504242,0.7235717612605403,0.010889986265088941,0.8413712458442183,28,80,0.35,39,944148286593173.9,-0.4887708685942787,False,False,False,49771.0,50181.52706031696,4.0,False,False,['low_catalogue_CNR_proxy']
J012517-001828,1.761,1611,1611.200369,0.00138,4448.524218809,False,200,200,1.0,0,2.4999895761823456,16.092253559660897,0.987810864726703,0.058425904895253594,0.0074317485310294775,7.8616633287994455,0.07801029208516544,0.011848340528797257,0.7489512387861442,0,80,0.0,9,2018091227572229.0,0.9163005643014147,False,False,False,49771.0,50181.52706031696,4.0,False,False,['low_catalogue_CNR_proxy']
J012517-001828,1.761,2249,2249.875472,0.00182,6211.906178192001,True,200,200,1.0,0,2.4999895761823456,28.70260312642648,0.9939772783737251,0.11318080441817424,0.005798591229329366,19.51867271583207,0.12088006130694398,0.009250588272357129,0.9363066430846735,0,80,0.0,28,1551386023042961.0,1.2729455062020527,False,False,False,47817.7,45968.02356483426,8.0,True,True,[]
J012517-001828,1.761,2260,2260.779108,0.00244,6242.011117188001,True,200,200,1.0,0,2.4999895761823456,35.561610408155076,0.9991185068294596,0.16642067540131908,0.004735737254384284,35.14145030897755,0.16890207878415744,0.007696637669965805,0.9853086273377998,0,80,0.0,34,1732451956094348.8,0.6266637037928212,False,False,False,47817.7,45968.02356483426,4.0,True,True,[]
